Date,Time,Open,High,Low,Close,Volume
07/12/2021,00:00,34254.015625,34592.15625,31100.673828125,31796.810546875,147501894180
07/19/2021,00:00,31800.01171875,35364.92578125,29360.955078125,35350.1875,156414750211
07/26/2021,00:00,35384.03125,42541.6796875,35287.3125,39974.89453125,237553113912
08/02/2021,00:00,39907.26171875,45282.3515625,37458.00390625,43798.1171875,226902699564
08/09/2021,00:00,43791.92578125,48098.68359375,42848.6875,47047.00390625,234268000892
08/16/2021,00:00,47019.9609375,49717.01953125,43998.31640625,49321.65234375,236289722726
08/23/2021,00:00,49291.67578125,50482.078125,46394.28125,48829.83203125,223947952688
08/30/2021,00:00,48834.8515625,51868.6796875,46562.4375,51753.41015625,256225023619
09/06/2021,00:00,51769.00390625,52853.765625,43285.20703125,46063.26953125,293311066613
09/13/2021,00:00,46057.21484375,48791.78125,43591.3203125,47260.21875,226141953163
09/20/2021,00:00,47261.40625,47328.19921875,39787.609375,43208.5390625,270099994433
09/27/2021,00:00,43234.18359375,49130.69140625,40829.66796875,48199.953125,223042115392
10/04/2021,00:00,48208.90625,56401.3046875,47045.00390625,54771.578125,261919545521
10/11/2021,00:00,54734.125,62757.12890625,54370.97265625,61553.6171875,277084548345
10/18/2021,00:00,61548.8046875,66930.390625,59643.34375,60930.8359375,257856648064
10/25/2021,00:00,60893.92578125,63729.32421875,58206.91796875,61318.95703125,256114057651
11/01/2021,00:00,61320.44921875,64242.79296875,59695.18359375,63326.98828125,227064607869
11/08/2021,00:00,63344.06640625,68789.625,62333.9140625,65466.83984375,259776276520
11/15/2021,00:00,65521.2890625,66281.5703125,55705.1796875,58730.4765625,253419951009
11/22/2021,00:00,58706.84765625,59367.96875,53569.765625,57248.45703125,243930001011
11/29/2021,00:00,57291.90625,59113.40234375,42874.6171875,49368.84765625,276690611812
12/06/2021,00:00,49413.48046875,51934.78125,46942.34765625,50098.3359375,208148497532
12/13/2021,00:00,50114.7421875,50205.0,45598.44140625,46707.015625,214770398202
12/20/2021,00:00,46707.0625,51814.02734375,45579.80859375,50809.515625,175052499792
12/27/2021,00:00,50802.609375,51956.328125,45819.953125,47345.21875,203998848909
01/03/2022,00:00,47343.54296875,47510.7265625,40672.27734375,41911.6015625,276182787152
01/10/2022,00:00,41910.23046875,44278.421875,39796.5703125,43113.87890625,199473804544
01/17/2022,00:00,43118.12109375,43413.0234375,34349.25,36276.8046875,196326044073
01/24/2022,00:00,36275.734375,38825.41015625,33184.05859375,37917.6015625,178727434896
01/31/2022,00:00,37920.28125,42500.78515625,36375.5390625,42412.43359375,143977109319
02/07/2022,00:00,42406.78125,45661.171875,41748.15625,42197.515625,176958095731
02/14/2022,00:00,42157.3984375,44667.21875,38112.8125,38431.37890625,144975794552
02/21/2022,00:00,38423.2109375,40005.34765625,34459.21875,37709.78515625,190469710084
02/28/2022,00:00,37706.0,45077.578125,37518.21484375,38419.984375,187557375751
03/07/2022,00:00,38429.3046875,42465.671875,37260.203125,37849.6640625,175966999156
03/14/2022,00:00,37846.31640625,42316.5546875,37680.734375,41247.82421875,184097042034
03/21/2022,00:00,41246.1328125,46827.546875,40668.04296875,46820.4921875,188591889758
03/28/2022,00:00,46821.8515625,48086.8359375,44403.140625,46453.56640625,223334181931
04/04/2022,00:00,46445.2734375,47106.140625,42021.20703125,42207.671875,188557001876
04/11/2022,00:00,42201.0390625,42424.58984375,39373.05859375,39716.953125,174652159709
04/18/2022,00:00,39721.203125,42893.58203125,38696.19140625,39469.29296875,184314843516
04/25/2022,00:00,39472.60546875,40713.890625,37585.7890625,38469.09375,216681007567
05/02/2022,00:00,38472.1875,39902.94921875,33878.96484375,34059.265625,239044762282
05/09/2022,00:00,34060.015625,34222.07421875,26350.490234375,31305.11328125,357800928090
05/16/2022,00:00,31304.375,31305.341796875,28708.955078125,30323.72265625,196429842104
05/23/2022,00:00,30309.396484375,30590.5859375,28261.90625,29445.95703125,212594819496
05/30/2022,00:00,29443.365234375,32249.86328125,29303.572265625,29906.662109375,203063587161
06/06/2022,00:00,29910.283203125,31693.291015625,26762.6484375,26762.6484375,215929645934
06/13/2022,00:00,26737.578125,26795.58984375,17708.623046875,20553.271484375,309685915250
06/20/2022,00:00,20553.37109375,21783.724609375,19689.169921875,21027.294921875,175909056122
06/27/2022,00:00,21028.23828125,21478.08984375,18729.65625,19297.076171875,157426002965
07/04/2022,00:00,19297.314453125,22314.94140625,19063.06640625,20860.44921875,206953871021
07/11/2022,00:00,20856.353515625,21600.640625,18999.953125,20779.34375,187297974219
07/18/2022,00:00,20781.912109375,24196.818359375,20781.912109375,22609.1640625,244312089708
07/25/2022,00:00,22607.15625,24572.580078125,20776.81640625,23336.896484375,223759636595
08/01/2022,00:00,23336.71875,23578.650390625,22485.701171875,23175.890625,166393135564
08/08/2022,00:00,23179.52734375,24974.9140625,22771.51953125,24319.333984375,195343016900
08/15/2022,00:00,24318.31640625,25135.58984375,20856.73046875,21534.12109375,208764012537
08/22/2022,00:00,21531.462890625,21804.908203125,19616.814453125,19616.814453125,223346042309
08/29/2022,00:00,19615.154296875,20542.64453125,19600.78515625,19986.712890625,208511390280
09/05/2022,00:00,19988.7890625,21770.552734375,18644.466796875,21769.255859375,259528892947
09/12/2022,00:00,21770.1484375,22673.8203125,19387.4921875,19419.505859375,261900187496
09/19/2022,00:00,19418.572265625,19674.630859375,18290.314453125,18802.09765625,252873598365
09/26/2022,00:00,18803.900390625,20338.455078125,18553.296875,19044.107421875,280290121527
10/03/2022,00:00,19044.068359375,20408.392578125,19025.2265625,19446.42578125,196809212801
10/10/2022,00:00,19446.416015625,19889.146484375,18319.822265625,19268.09375,197940078443
10/17/2022,00:00,19268.5625,19666.994140625,18770.970703125,19567.0078125,175664450104
10/24/2022,00:00,19567.76953125,20988.39453125,19206.32421875,20635.603515625,302335723765
10/31/2022,00:00,20633.6953125,21446.88671875,20086.240234375,20926.486328125,321270158405
11/07/2022,00:00,20924.62109375,21053.24609375,15682.6923828125,16353.365234375,471409252759
11/14/2022,00:00,16352.0283203125,17109.32421875,15872.94140625,16291.83203125,212305927001
11/21/2022,00:00,16291.2236328125,16771.474609375,15599.046875,16444.626953125,184366390569
11/28/2022,00:00,16440.22265625,17197.498046875,16054.5302734375,17130.486328125,156325682750
12/05/2022,00:00,17128.89453125,17378.15234375,16750.55859375,17104.193359375,129428712529
12/12/2022,00:00,17102.5,18318.53125,16584.701171875,16757.9765625,142170798266
12/19/2022,00:00,16759.041015625,17012.984375,16398.13671875,16841.986328125,107997970888
12/26/2022,00:00,16842.25,16959.845703125,16408.474609375,16625.080078125,95526200508
01/02/2023,00:00,16625.509765625,17091.14453125,16572.228515625,17091.14453125,90012614323
01/09/2023,00:00,17093.9921875,21075.142578125,17093.9921875,20880.798828125,175267920183
01/16/2023,00:00,20882.224609375,23282.34765625,20541.544921875,22720.416015625,188938770069
01/23/2023,00:00,22721.087890625,23919.890625,22406.076171875,23774.56640625,177486927537
01/30/2023,00:00,23774.6484375,24167.2109375,22657.58203125,22955.666015625,171080243769
02/06/2023,00:00,22954.021484375,23367.958984375,21539.392578125,21788.203125,170212590188
02/13/2023,00:00,21787.0,25134.1171875,21460.087890625,24327.642578125,209050300776
02/20/2023,00:00,24336.623046875,25126.8515625,22861.55859375,23561.212890625,180472737469
02/27/2023,00:00,23561.451171875,23880.6328125,22198.98046875,22435.513671875,138790785900
03/06/2023,00:00,22436.81640625,22584.29296875,19628.25390625,22163.94921875,192057466346
03/13/2023,00:00,22156.40625,28440.560546875,21918.19921875,28038.67578125,305833103060
03/20/2023,00:00,28041.6015625,28803.3359375,26759.99609375,27994.330078125,191720356212
03/27/2023,00:00,27994.068359375,29159.90234375,26606.689453125,28199.30859375,121255230918
04/03/2023,00:00,28183.080078125,28739.23828125,27276.720703125,28333.05078125,98141424556
04/10/2023,00:00,28336.02734375,31005.607421875,28189.271484375,30315.35546875,122998807738
04/17/2023,00:00,30317.146484375,30470.302734375,27169.5703125,27591.384765625,129935327803
04/24/2023,00:00,27591.73046875,29995.837890625,27070.849609375,29268.806640625,137303647007
05/01/2023,00:00,29227.103515625,29820.126953125,27680.79296875,28454.978515625,114911964253
05/08/2023,00:00,28450.45703125,28663.271484375,25878.4296875,26930.638671875,109959496438
05/15/2023,00:00,26931.384765625,27646.34765625,26415.1015625,26753.826171875,84459727715
05/22/2023,00:00,26749.892578125,28193.44921875,25890.59375,28085.646484375,90053064704
05/29/2023,00:00,28075.591796875,28432.0390625,26574.64453125,27119.06640625,91351657572
06/05/2023,00:00,27123.109375,27332.181640625,25434.8671875,25940.16796875,116498927148
06/12/2023,00:00,25934.28515625,26769.39453125,24797.16796875,26336.212890625,92905085602
06/19/2023,00:00,26335.44140625,31389.5390625,26312.83203125,30480.26171875,138005623534
06/26/2023,00:00,30480.5234375,31256.86328125,29600.275390625,30620.76953125,106681707513
07/03/2023,00:00,30624.515625,31460.052734375,29777.28515625,30171.234375,90491031635
07/10/2023,00:00,30172.423828125,31814.515625,29966.38671875,30249.1328125,102917922458
07/17/2023,00:00,30249.626953125,30336.400390625,29556.427734375,30084.5390625,81229098742
07/24/2023,00:00,30081.662109375,30093.39453125,28934.294921875,29275.30859375,76309629498
07/31/2023,00:00,29278.314453125,29987.998046875,28657.0234375,29041.85546875,87827001052
08/07/2023,00:00,29038.513671875,30176.796875,28724.140625,29282.9140625,85153014454
08/14/2023,00:00,29283.263671875,29660.25390625,25409.111328125,26189.583984375,116418274959
08/21/2023,00:00,26188.69140625,26786.8984375,25520.728515625,26089.693359375,83086807452
08/28/2023,00:00,26089.615234375,28089.337890625,25362.609375,25969.56640625,113161627781
09/04/2023,00:00,25968.169921875,26414.005859375,25404.359375,25832.2265625,69814611152
09/11/2023,00:00,25831.71484375,26840.498046875,24930.296875,26534.1875,85796699860
09/18/2023,00:00,26532.994140625,27488.763671875,26221.05078125,26256.826171875,82251905213
09/25/2023,00:00,26253.775390625,28047.23828125,26011.46875,27983.75,73012240734
10/02/2023,00:00,27976.798828125,28494.458984375,27215.552734375,27935.08984375,82183775698
10/09/2023,00:00,27934.47265625,27989.470703125,26558.3203125,27159.65234375,72673654487
10/16/2023,00:00,27162.62890625,30287.482421875,27130.47265625,29993.896484375,113402383094
10/23/2023,00:00,30140.685546875,35150.43359375,30097.828125,34538.48046875,165718773022
10/30/2023,00:00,34531.7421875,35919.84375,34083.30859375,35049.35546875,115520056635
11/06/2023,00:00,35044.7890625,37926.2578125,34545.81640625,37054.51953125,134767494805
11/13/2023,00:00,37070.3046875,37964.89453125,34948.5,37386.546875,143535361089
11/20/2023,00:00,37374.07421875,38415.33984375,35670.97265625,37479.12109375,130439893957
11/27/2023,00:00,37454.19140625,40135.60546875,36750.12890625,39978.390625,134360107955
12/04/2023,00:00,39978.62890625,44705.515625,39978.62890625,43779.69921875,188503614895
12/11/2023,00:00,43792.01953125,43808.375,40234.578125,41364.6640625,168493481950
12/18/2023,00:00,41348.203125,44367.95703125,40530.2578125,43016.1171875,152084171491
12/25/2023,00:00,43010.57421875,43804.78125,41424.0625,42265.1875,157807126208
01/01/2024,00:00,42280.234375,45899.70703125,40813.53515625,43943.09765625,202311773985
01/08/2024,00:00,43948.70703125,48969.37109375,41724.61328125,41796.26953125,259971819745
01/15/2024,00:00,41715.06640625,43566.2734375,40297.45703125,41545.78515625,139135824835
01/22/2024,00:00,41553.65234375,42797.17578125,38521.89453125,42035.59375,155314602893
01/29/2024,00:00,42030.9140625,43305.8671875,41818.33203125,43288.24609375,20668476578
