Datetime,Open,High,Low,Close,Adj Close,Volume
02/23/2024 00:00,51283.90625,51341.6796875,51235.83984375,51341.6796875,51341.6796875,0
02/23/2024 00:30,51344.17578125,51430.76171875,51344.17578125,51427.8671875,51427.8671875,13307904
02/23/2024 01:00,51430.49609375,51436.15234375,51369.25,51392.01171875,51392.01171875,0
02/23/2024 01:30,51451.390625,51497.93359375,51293.52734375,51311.1171875,51311.1171875,0
02/23/2024 02:00,51302.140625,51389.53125,51294.6171875,51312.390625,51312.390625,0
02/23/2024 02:30,51270.3828125,51389.21875,51063.67578125,51063.67578125,51063.67578125,131428352
02/23/2024 03:00,51069.06640625,51075.80078125,50982.84765625,51014.70703125,51014.70703125,356126720
02/23/2024 03:30,51027.42578125,51095.08203125,50997.453125,51062.12890625,51062.12890625,72380416
02/23/2024 04:00,51076.34765625,51204.0859375,50982.3125,51204.0859375,51204.0859375,181946368
02/23/2024 04:30,51212.2109375,51291.86328125,51182.95703125,51195.56640625,51195.56640625,83654656
02/23/2024 05:00,51204.1875,51209.671875,51150.2890625,51186.86328125,51186.86328125,5447680
02/23/2024 05:30,51185.22265625,51222.8828125,51113.765625,51222.8828125,51222.8828125,4890624
02/23/2024 06:00,51223.66796875,51260.67578125,51213.12890625,51217.90234375,51217.90234375,44861440
02/23/2024 06:30,51203.28515625,51290.90234375,51203.28515625,51287.10546875,51287.10546875,0
02/23/2024 07:00,51284.27734375,51284.27734375,51129.94921875,51129.94921875,51129.94921875,0
02/23/2024 07:30,51119.59765625,51119.59765625,50889.1015625,50900.875,50900.875,173039616
02/23/2024 08:00,50901.3125,51125.515625,50889.28515625,51046.82421875,51046.82421875,143360
02/23/2024 08:30,51038.9765625,51038.9765625,50856.66015625,50931.484375,50931.484375,167249920
02/23/2024 09:00,50944.87109375,51033.80859375,50867.07421875,50955.44140625,50955.44140625,92928000
02/23/2024 09:30,50958.19140625,51032.75,50883.6640625,50975.1953125,50975.1953125,28002304
02/23/2024 10:00,50993.67578125,51125.9375,50967.15234375,51125.9375,51125.9375,50995200
02/23/2024 10:30,51121.859375,51167.3828125,51093.37109375,51156.91015625,51156.91015625,16281600
02/23/2024 11:00,51165.97265625,51228.5859375,51147.51171875,51150.5625,51150.5625,0
02/23/2024 11:30,51146.4609375,51230.33984375,51146.4609375,51205.09765625,51205.09765625,8306688
02/23/2024 12:00,51207.51171875,51207.51171875,50925.9375,50925.9375,50925.9375,93306880
02/23/2024 12:30,50928.51171875,50999.609375,50928.51171875,50981.86328125,50981.86328125,66007040
02/23/2024 13:00,50977.26171875,51016.79296875,50910.34765625,50972.44921875,50972.44921875,8624128
02/23/2024 13:30,50988.08203125,51069.3984375,50945.29296875,51048.6328125,51048.6328125,0
02/23/2024 14:00,51042.296875,51252.234375,50921.953125,51173.828125,51173.828125,128778240
02/23/2024 14:30,51165.04296875,51256.84375,50821.671875,51091.66796875,51091.66796875,622952448
02/23/2024 15:00,51103.69921875,51103.69921875,50866.57421875,50867.01171875,50867.01171875,518858752
02/23/2024 15:30,50876.390625,51022.8828125,50871.0390625,50909.08984375,50909.08984375,227344384
02/23/2024 16:00,50908.03515625,50918.8203125,50631.265625,50856.42578125,50856.42578125,485888000
02/23/2024 16:30,50852.37890625,51088.93359375,50808.30078125,51019.31640625,51019.31640625,199444480
02/23/2024 17:00,51039.5703125,51114.2265625,50990.80859375,50990.80859375,50990.80859375,28022784
02/23/2024 17:30,50992.609375,51148.9375,50992.609375,51133.71484375,51133.71484375,39852032
02/23/2024 18:00,51134.40625,51150.23046875,51002.24609375,51150.23046875,51150.23046875,67821568
02/23/2024 18:30,51142.1328125,51160.6484375,51075.59375,51092.1640625,51092.1640625,21176320
02/23/2024 19:00,51093.9921875,51169.6015625,51036.7109375,51131.62109375,51131.62109375,4354048
02/23/2024 19:30,51131.85546875,51182.4609375,51061.34375,51068.0546875,51068.0546875,42295296
02/23/2024 20:00,51080.80078125,51156.55859375,50997.01171875,51000.48046875,51000.48046875,11515904
02/23/2024 20:30,51000.80078125,51079.02734375,50971.8671875,51079.02734375,51079.02734375,0
02/23/2024 21:00,51080.48828125,51086.37890625,51006.1484375,51011.6796875,51011.6796875,0
02/23/2024 21:30,51017.984375,51055.328125,50983.5625,50983.5625,50983.5625,0
02/23/2024 22:00,50984.734375,51018.52734375,50885.30859375,50934.3046875,50934.3046875,0
02/23/2024 22:30,50942.94140625,50942.94140625,50744.56640625,50775.41015625,50775.41015625,0
02/23/2024 23:00,50782.78515625,50782.890625,50561.77734375,50779.3984375,50779.3984375,153743360
02/23/2024 23:30,50781.6796875,50890.0625,50723.74609375,50723.74609375,50723.74609375,32964608
02/24/2024 00:00,50736.37109375,50824.64453125,50693.4140625,50824.64453125,50824.64453125,137848832
02/24/2024 00:30,50819.01171875,50896.78515625,50778.10546875,50864.0234375,50864.0234375,36874240
02/24/2024 01:00,50880.8203125,50880.8203125,50727.546875,50727.546875,50727.546875,40105984
02/24/2024 01:30,50702.98046875,50770.73046875,50602.140625,50602.140625,50602.140625,27154432
02/24/2024 02:00,50588.65625,50735.10546875,50585.4453125,50718.09765625,50718.09765625,35028992
02/24/2024 02:30,50731.93359375,50777.6640625,50723.39453125,50777.6640625,50777.6640625,7309312
02/24/2024 03:00,50784.1875,50784.1875,50710.4453125,50764.1640625,50764.1640625,0
02/24/2024 03:30,50764.01953125,50839.28515625,50749.90625,50837.9609375,50837.9609375,0
02/24/2024 04:00,50836.83203125,50932.6953125,50827.88671875,50922.0,50922.0,0
02/24/2024 04:30,50919.7734375,50973.1484375,50918.6953125,50942.66015625,50942.66015625,2566144
02/24/2024 05:00,50944.18359375,51035.3984375,50919.4609375,51027.3125,51027.3125,33910784
